dropout,TIMESTAMP
1,2023-03-13 16:49:55.465554
2,2023-03-13 16:49:57.832133
3,2023-03-13 16:50:03.005550
4,2023-03-13 16:50:04.947620
5,2023-03-13 16:50:07.336063
6,2023-03-13 16:50:28.745271
7,2023-03-13 16:50:58.535803
8,2023-03-13 16:51:00.655097
9,2023-03-13 16:51:37.334209
10,2023-03-13 16:51:47.690208
11,2023-03-13 16:51:49.399093
12,2023-03-13 16:51:51.564502
13,2023-03-13 16:53:40.282244
14,2023-03-13 16:54:37.678887
15,2023-03-13 16:54:52.702353
16,2023-03-13 16:55:17.574624
17,2023-03-13 16:55:18.597339
18,2023-03-13 16:55:19.577735
19,2023-03-13 16:55:20.644392
20,2023-03-13 16:55:21.007441
21,2023-03-13 16:55:22.504318
22,2023-03-13 16:55:23.013502
23,2023-03-13 16:55:34.427422
24,2023-03-13 16:55:41.515318
25,2023-03-13 16:56:07.807500
26,2023-03-13 16:56:09.084343
27,2023-03-13 16:56:10.463182
28,2023-03-13 16:56:23.340095
29,2023-03-13 16:56:24.249462
30,2023-03-13 16:56:25.231933
31,2023-03-13 16:56:39.248304
32,2023-03-13 16:58:05.412594
33,2023-03-13 16:58:38.449976
34,2023-03-13 16:58:53.086344
35,2023-03-13 16:59:08.152165
36,2023-03-13 16:59:22.384431
37,2023-03-13 16:59:37.423441
38,2023-03-13 16:59:52.119421
39,2023-03-13 16:59:57.225561
40,2023-03-13 17:00:06.408600
41,2023-03-13 17:00:21.382185
42,2023-03-13 17:00:36.223780
43,2023-03-13 17:00:50.898646
44,2023-03-13 17:01:06.383895
45,2023-03-13 17:01:20.194430
46,2023-03-13 17:01:35.126289
47,2023-03-13 17:01:49.783521
48,2023-03-13 17:02:04.459862
49,2023-03-13 17:02:18.995692
50,2023-03-13 17:02:34.058549
51,2023-03-13 17:02:48.528167
52,2023-03-13 17:03:03.382895
53,2023-03-14 11:04:53.048685
54,2023-03-14 11:05:10.028591
55,2023-03-14 11:05:16.822471
56,2023-03-14 11:05:35.906685
57,2023-03-14 11:05:51.784489
58,2023-03-14 11:05:52.416598
59,2023-03-14 11:05:57.654529
60,2023-03-14 11:06:43.779673
61,2023-03-14 11:07:48.097392
62,2023-03-14 11:07:48.913154
63,2023-03-14 11:07:51.823268
64,2023-03-14 11:07:57.491854
65,2023-03-14 11:08:01.304167
66,2023-03-14 11:08:09.370237
67,2023-03-14 11:08:17.293740
68,2023-03-14 11:08:18.769799
69,2023-03-14 11:08:21.968556
70,2023-03-14 11:08:24.760375
71,2023-03-14 11:08:44.881778
72,2023-03-14 11:08:46.643556
73,2023-03-14 11:15:55.284409
74,2023-03-14 15:10:43.591646
75,2023-03-14 15:11:56.841537
76,2023-03-14 15:11:57.954324
77,2023-03-14 15:12:07.435521
78,2023-03-14 15:12:16.233473
79,2023-03-14 15:13:12.018625
80,2023-03-14 15:13:13.178293
81,2023-03-14 15:13:48.743609
82,2023-03-14 15:13:49.877535
83,2023-03-14 15:13:55.575929
84,2023-03-14 15:13:55.823826
85,2023-03-14 15:13:57.398020
86,2023-03-14 15:13:57.679967
87,2023-03-14 15:13:59.522724
88,2023-03-14 15:13:59.882888
89,2023-03-14 15:14:00.903175
90,2023-03-14 15:14:01.093993
91,2023-03-14 15:14:06.320115
92,2023-03-14 15:14:07.180330
93,2023-03-14 15:14:23.362578
94,2023-03-14 15:14:24.269376
95,2023-03-14 15:14:24.786777
96,2023-03-14 15:14:27.874720
97,2023-03-14 15:14:35.034429
98,2023-03-14 15:14:38.224504
99,2023-03-14 15:14:51.933480
100,2023-03-14 15:14:52.281436
101,2023-03-14 15:15:03.882123
102,2023-03-14 15:15:06.329073
103,2023-03-14 15:17:28.855908
104,2023-03-14 15:19:11.604148
105,2023-03-14 15:19:19.503615
106,2023-03-14 15:20:21.353224
107,2023-03-14 15:21:08.522300
108,2023-03-14 15:21:09.240851
109,2023-03-14 15:21:21.536937
110,2023-03-14 15:21:46.140854
111,2023-03-14 15:21:47.087686
112,2023-03-14 15:22:16.857729
113,2023-03-14 15:22:22.528653
114,2023-03-14 15:22:37.632345
115,2023-03-14 15:22:46.002650
116,2023-03-14 15:23:25.913692
117,2023-03-14 15:23:28.772371
118,2023-03-15 10:01:59.163714
119,2023-03-15 10:02:00.964455
120,2023-03-15 10:02:23.735327
121,2023-03-15 10:03:06.227055
122,2023-03-15 10:11:01.008806
123,2023-03-15 10:11:08.580912
124,2023-03-15 10:13:33.060616
125,2023-03-15 10:13:57.051603
126,2023-03-15 10:16:38.915608
127,2023-03-15 10:16:39.340825
128,2023-03-15 10:19:35.032038
129,2023-03-15 10:24:18.796043
130,2023-03-15 10:32:32.684749
131,2023-03-15 10:32:34.026854
132,2023-03-15 10:32:34.427198
133,2023-03-15 10:32:56.691893
134,2023-03-15 10:33:13.942543
135,2023-03-15 10:33:14.326561
136,2023-03-15 10:33:34.074834
137,2023-03-15 10:33:34.750544
138,2023-03-15 10:34:47.266042
139,2023-03-15 10:34:49.166894
140,2023-03-15 10:34:49.939268
141,2023-03-15 10:34:59.087215
142,2023-03-15 10:35:12.390260
143,2023-03-15 10:35:12.663778
144,2023-03-15 10:35:25.830877
145,2023-03-15 10:35:26.095589
146,2023-03-15 10:36:10.618655
147,2023-03-15 10:36:11.009768
148,2023-03-15 10:36:13.611037
149,2023-03-15 10:36:14.307072
150,2023-03-15 10:36:16.788090
151,2023-03-15 10:36:17.147236
152,2023-03-15 10:36:43.711667
153,2023-03-15 10:38:00.891887
154,2023-03-15 10:39:53.059992
155,2023-03-15 10:40:03.390684
156,2023-03-15 10:40:04.286152
157,2023-03-15 10:40:21.554574
158,2023-03-15 10:40:26.374911
159,2023-03-15 10:40:26.678436
160,2023-03-15 10:40:28.845948
161,2023-03-15 10:40:30.794802
162,2023-03-15 10:40:31.246444
163,2023-03-15 10:40:39.722866
164,2023-03-15 10:40:40.202071
165,2023-03-15 10:41:57.159132
166,2023-03-15 10:42:53.983276
167,2023-03-15 10:43:08.164568
168,2023-03-15 10:43:18.297166
169,2023-03-15 10:43:21.829851
170,2023-03-15 10:44:36.227579
171,2023-03-15 10:45:36.874729
172,2023-03-15 10:45:42.339212
173,2023-03-15 10:45:46.084524
174,2023-03-15 10:52:01.690041
175,2023-03-15 10:53:00.245782
