latency,RSSI,Filtered Latency,TIMESTAMP,Drop?
191,-104,5795,0.0,0
345,-99,6177,0.5143500000049244,1
232,-93,6711,0.9002010000040173,0
235,-103,6515,1.276547000001301,0
145,-102,6260,1.659073000002536,0
344,-97,6342,2.093646000001172,1
166,-96,7236,2.530136000001221,0
264,-103,6961,2.8941780000022845,0
176,-101,6751,3.278137000001152,0
348,-94,6708,3.702467000002798,1
343,-99,7340,4.158681000000797,0
254,-103,7158,4.549377000003005,0
161,-99,6995,4.944593000000168,0
263,-94,6890,5.336426000001666,1
347,-103,7619,5.73917000000074,0
285,-103,7538,6.156849999999395,0
234,-97,7132,6.6131119999990915,0
140,-93,6734,7.067320000001928,1
233,-95,6450,7.602107999999134,0
332,-102,7375,8.036728999999468,0
214,-104,7440,8.490571000002092,0
140,-103,7067,8.954940000003262,1
342,-100,7132,9.409695000002102,0
238,-95,7629,9.813616999999795,1
277,-103,7214,10.18787500000326,0
212,-103,6927,10.60230600000068,0
347,-97,6720,11.016865000005055,1
142,-98,7197,11.45218400000158,0
261,-102,7002,11.84688499999902,0
194,-101,6729,12.280136000001221,0
138,-95,6304,12.746523000001616,1
342,-95,6082,13.283603000003495,0
120,-98,6651,13.678006000001915,0
239,-103,6431,14.120862000003399,0
149,-103,6233,14.56531399999949,1
340,-100,6193,15.05952800000523,1
287,-95,6398,15.528058000003512,0
188,-95,6066,16.078990000001795,0
347,-93,5891,16.55677000000287,1
348,-100,6483,16.99500600000465,0
238,-103,6496,17.411313000004156,0
161,-103,6226,17.87500600000203,0
347,-95,6060,18.279741000005743,1
335,-99,6528,18.695767000004707,0
259,-104,6412,19.079594000002544,0
190,-99,6146,19.474834000000556,0
306,-97,6030,19.899217000005592,1
347,-104,6578,20.274237000005087,0
259,-101,6673,20.689772000005178,0
191,-95,6374,21.09410200000275,0
172,-100,6089,21.490473000005295,0
301,-102,6371,21.974763000005623,0
250,-104,6290,22.428333000003477,0
203,-99,6031,22.873092000001634,0
132,-95,5702,23.369188000004215,1
348,-95,5540,23.862301000001025,0
134,-101,6566,24.30672400000185,0
249,-104,6581,24.709263000004285,0
153,-99,6423,25.104833000004874,0
275,-92,6279,25.54619300000195,1
331,-98,6753,25.94907900000544,0
261,-103,6578,26.34437700000126,0
162,-97,6407,26.73904500000208,0
257,-97,6201,27.12391100000241,1
329,-103,7006,27.566383000004862,0
288,-101,7042,27.942465000000084,0
160,-96,6770,28.375032000003557,0
153,-101,6603,28.7408460000006,0
328,-102,6812,29.185542999999598,0
258,-98,6915,29.570464000003994,0
212,-93,6501,30.073279000003822,0
122,-93,6153,30.550320000002102,0
140,-102,5890,30.976833000000624,1
343,-104,6558,31.39071100000001,0
220,-101,7217,31.872864000004483,0
150,-100,6908,32.3589340000035,0
284,-94,6595,32.79258000000118,1
335,-102,7305,33.219082000003255,0
278,-102,7273,33.62249200000224,0
213,-97,6939,34.087092000001576,0
346,-91,6720,34.50022600000375,1
337,-99,7214,34.922387999999046,0
256,-105,7124,35.30870600000344,0
206,-99,6833,35.72871999999916,0
68,-95,6521,36.134573000003,1
126,-104,6211,36.519920000006096,0
345,-101,6549,36.936209999999846,0
281,-98,7006,37.398793000000296,0
216,-96,6627,37.893449000002875,0
33,-99,6326,38.3387189999994,0
140,-103,6055,38.78768700000364,1
307,-104,6548,39.256435000002966,0
252,-100,6753,39.70053600000392,0
174,-91,6461,40.13565600000584,0
175,-101,6184,40.53090200000588,0
324,-104,6409,40.931007999999565,0
252,-99,6485,41.38150200000382,0
152,-95,6319,41.804745000001276,0
